symbol,Date,Open,High,Low,Close*,Adj Close**,Volume
SP500TR,12/31/2020,7712.24,7767.17,7699.05,7759.35,7759.35,0
SP500TR,12/30/2020,7717.67,7735.04,7705.32,7709.1,7709.1,0
SP500TR,12/29/2020,7745.38,7757.76,7690.22,7697.93,7697.93,0
SP500TR,12/28/2020,7689.64,7725.74,7689.64,7715.1,7715.1,0
SP500TR,12/24/2020,7629.75,7649.79,7620.12,7648.39,7648.39,0
SP500TR,12/23/2020,7627.67,7664.44,7619.82,7620.63,7620.63,0
SP500TR,12/22/2020,7637.18,7637.48,7591.91,7614.83,7614.83,0
SP500TR,12/21/2020,7608.11,7646.22,7509.69,7630.07,7630.07,0
SP500TR,12/18/2020,7686.56,7695.16,7611.18,7659.75,7659.75,0
SP500TR,12/17/2020,7667.96,7691.2,7662.29,7686.18,7686.18,0
SP500TR,12/16/2020,7631.65,7662.65,7615.79,7641.82,7641.82,0
SP500TR,12/15/2020,7570.02,7629.65,7556.01,7628.28,7628.28,0
SP500TR,12/14/2020,7588.2,7634.3,7530.21,7530.87,7530.87,0
SP500TR,12/11/2020,7547.24,7567.43,7500.48,7562.46,7562.46,0
SP500TR,12/10/2020,7553.35,7593.32,7524.94,7571.87,7571.87,0
SP500TR,12/9/2020,7649.51,7662.45,7555.71,7581.06,7581.06,0
SP500TR,12/8/2020,7601.8,7654.16,7593.28,7641.43,7641.43,0
SP500TR,12/7/2020,7625.71,7631.24,7593.11,7620,7620,0
SP500TR,12/4/2020,7576.61,7634.81,7576.61,7634.77,7634.77,0
SP500TR,12/3/2020,7570.66,7600.41,7548.24,7567.44,7567.44,0
SP500TR,12/2/2020,7539.35,7574.03,7521.57,7570.76,7570.76,0
SP500TR,12/1/2020,7522.3,7589.22,7522.3,7556.51,7556.51,0
SP500TR,11/30/2020,7497.94,7497.94,7416.46,7472.06,7472.06,0
SP500TR,11/27/2020,7505.77,7517.66,7486.95,7505.38,7505.38,0
SP500TR,11/25/2020,7498.76,7498.76,7462.17,7486.68,7486.68,0
